,agent_type,auc,f1_score,feature_importance,fpr,model,model_name,tpr,type_class,feature rank
13,Robot,0.21518987341772153,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.43037975 0.50632911 0.5443038  0.56962025 0.72151899
 0.82278481 0.83544304 0.88607595 0.92405063 0.94936709 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,[0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],Robo-Projects,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_rfc_mean', 'analizo_npa_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_npm_mean', 'analizo_cbo_mean', 'analizo_mmloc_mean', 'analizo_nom_mean', 'analizo_noc_mean', 'analizo_lcom4_mean', 'analizo_amloc_mean', 'analizo_accm_mean']"
7,non-agent,0.44841269841269843,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01190476 0.07142857 0.08333333 0.44047619 0.44047619
 0.82142857 0.83333333 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.         1.        ]",Games,"['analizo_accm_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_npa_mean', 'analizo_anpm_mean', 'analizo_noc_mean', 'analizo_npm_mean', 'analizo_nom_mean', 'analizo_noa_mean', 'analizo_mmloc_mean', 'analizo_rfc_mean', 'analizo_acc_mean', 'analizo_amloc_mean', 'analizo_dit_mean', 'analizo_sc_mean']"
8,non-agent,0.4747474747474747,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01234568 0.07407407 0.07407407 0.16049383 0.16049383
 0.22222222 0.22222222 0.41975309 0.41975309 0.48148148 0.49382716
 0.5308642  0.5308642  0.55555556 0.55555556 0.60493827 0.60493827
 0.66666667 0.66666667 0.71604938 0.71604938 0.77777778 0.79012346
 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.09090909 0.09090909 0.18181818
 0.18181818 0.27272727 0.27272727 0.36363636 0.36363636 0.45454545
 0.45454545 0.54545455 0.54545455 0.63636364 0.63636364 0.72727273
 0.72727273 0.81818182 0.81818182 0.90909091 0.90909091 1.
 1.        ]",Graphics,"['analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_npa_mean', 'analizo_npm_mean', 'analizo_lcom4_mean', 'analizo_amloc_mean', 'analizo_noa_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_noc_mean', 'analizo_accm_mean', 'analizo_sc_mean', 'analizo_nom_mean', 'analizo_mmloc_mean', 'analizo_rfc_mean']"
6,non-agent,0.5116598079561042,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01234568 0.11111111 0.11111111 0.16049383 0.16049383
 0.43209877 0.44444444 0.49382716 0.49382716 0.54320988 0.54320988
 0.59259259 0.59259259 0.7037037  0.7037037  0.71604938 0.71604938
 0.83950617 0.85185185 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.22222222 0.33333333 0.33333333 0.44444444 0.44444444 0.55555556
 0.55555556 0.66666667 0.66666667 0.77777778 0.77777778 0.88888889
 0.88888889 1.         1.        ]",Education,"['analizo_acc_mean', 'analizo_mmloc_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_cbo_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_lcom4_mean', 'analizo_amloc_mean', 'analizo_noc_mean', 'analizo_dit_mean', 'analizo_npa_mean', 'analizo_accm_mean', 'analizo_rfc_mean', 'analizo_nom_mean']"
3,non-agent,0.5120614035087718,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01315789 0.07894737 0.07894737 0.21052632 0.21052632
 0.26315789 0.26315789 0.36842105 0.36842105 0.60526316 0.60526316
 0.63157895 0.63157895 0.64473684 0.64473684 0.68421053 0.68421053
 0.71052632 0.71052632 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.08333333 0.08333333 0.16666667
 0.16666667 0.25       0.25       0.33333333 0.33333333 0.5
 0.5        0.66666667 0.66666667 0.75       0.75       0.83333333
 0.83333333 1.         1.        ]",Mobile,"['analizo_cbo_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_sc_mean', 'analizo_dit_mean', 'analizo_anpm_mean', 'analizo_mmloc_mean', 'analizo_acc_mean', 'analizo_noc_mean', 'analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_accm_mean', 'analizo_amloc_mean', 'analizo_nom_mean']"
2,non-agent,0.542042042042042,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01351351 0.14864865 0.14864865 0.28378378 0.28378378
 0.36486486 0.36486486 0.44594595 0.44594595 0.47297297 0.47297297
 0.48648649 0.48648649 0.51351351 0.51351351 0.54054054 0.54054054
 0.62162162 0.62162162 0.64864865 0.64864865 0.66216216 0.68918919
 0.68918919 0.7027027  0.71621622 0.71621622 0.7972973  0.82432432
 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.05555556 0.05555556 0.11111111
 0.11111111 0.16666667 0.16666667 0.22222222 0.22222222 0.27777778
 0.27777778 0.33333333 0.33333333 0.44444444 0.44444444 0.5
 0.5        0.61111111 0.61111111 0.72222222 0.77777778 0.77777778
 0.88888889 0.94444444 0.94444444 1.         1.         1.
 1.        ]",Security,"['analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_rfc_mean', 'analizo_acc_mean', 'analizo_noc_mean', 'analizo_mmloc_mean', 'analizo_anpm_mean', 'analizo_nom_mean', 'analizo_dit_mean', 'analizo_amloc_mean', 'analizo_accm_mean', 'analizo_npm_mean', 'analizo_cbo_mean', 'analizo_sc_mean']"
10,non-agent,0.5589430894308943,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01219512 0.03658537 0.03658537 0.09756098 0.09756098
 0.54878049 0.54878049 0.56097561 0.56097561 0.76829268 0.7804878
 0.80487805 0.82926829 0.82926829 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.22222222 0.44444444 0.44444444 0.55555556 0.55555556 0.66666667
 0.66666667 0.88888889 1.         1.        ]",Audio,"['analizo_anpm_mean', 'analizo_mmloc_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_cbo_mean', 'analizo_noa_mean', 'analizo_npm_mean', 'analizo_accm_mean', 'analizo_lcom4_mean', 'analizo_acc_mean', 'analizo_noc_mean', 'analizo_dit_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_rfc_mean']"
9,non-agent,0.6054852320675105,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01265823 0.24050633 0.25316456 0.40506329 0.40506329
 0.58227848 0.58227848 0.62025316 0.62025316 0.84810127 0.84810127
 0.92405063 0.93670886 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.16666667 0.16666667 0.33333333
 0.33333333 0.5        0.5        0.66666667 0.66666667 0.83333333
 0.83333333 1.         1.        ]",Robot-Simulation,"['analizo_acc_mean', 'analizo_amloc_mean', 'analizo_noc_mean', 'analizo_npm_mean', 'analizo_anpm_mean', 'analizo_noa_mean', 'analizo_accm_mean', 'analizo_lcom4_mean', 'analizo_dit_mean', 'analizo_nom_mean', 'analizo_mmloc_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_rfc_mean', 'analizo_cbo_mean']"
5,non-agent,0.6077235772357724,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01219512 0.35365854 0.35365854 0.63414634 0.63414634
 0.82926829 0.84146341 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.         1.        ]",Finance,"['analizo_accm_mean', 'analizo_anpm_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_dit_mean', 'analizo_mmloc_mean', 'analizo_lcom4_mean', 'analizo_sc_mean', 'analizo_acc_mean', 'analizo_noc_mean', 'analizo_cbo_mean', 'analizo_nom_mean']"
4,non-agent,0.6205882352941177,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01176471 0.29411765 0.31764706 0.44705882 0.44705882
 0.47058824 0.47058824 0.6        0.6        0.65882353 0.67058824
 0.72941176 0.72941176 0.81176471 0.81176471 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.         0.         0.16666667
 0.16666667 0.33333333 0.33333333 0.5        0.5        0.66666667
 0.66666667 0.83333333 0.83333333 1.         1.        ]",Ide,"['analizo_cbo_mean', 'analizo_dit_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_mmloc_mean', 'analizo_anpm_mean', 'analizo_rfc_mean', 'analizo_accm_mean', 'analizo_noa_mean', 'analizo_acc_mean', 'analizo_amloc_mean', 'analizo_lcom4_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_noc_mean']"
11,agent,0.7740384615384616,0.3333333333333333,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01282051 0.16666667 0.19230769 0.42307692 0.42307692
 0.57692308 0.57692308 0.67948718 0.67948718 0.78205128 0.78205128
 0.83333333 0.83333333 0.93589744 0.93589744 0.97435897 0.97435897
 0.98717949 0.98717949 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.    0.    0.    0.    0.    0.125 0.125 0.25  0.25  0.375 0.375 0.5
 0.5   0.625 0.625 0.75  0.75  0.875 0.875 1.    1.   ]",Chess,"['analizo_accm_mean', 'analizo_noc_mean', 'analizo_nom_mean', 'analizo_rfc_mean', 'analizo_npa_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_npm_mean', 'analizo_amloc_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_anpm_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_mmloc_mean']"
