,agent_type,auc,f1_score,feature_importance,fpr,model,model_name,tpr,type_class,feature rank
12,agent,,0.22222222222222224,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Anac,"['analizo_accm_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_lcom4_mean', 'analizo_cbo_mean', 'analizo_amloc_mean', 'analizo_acc_mean', 'analizo_dit_mean', 'analizo_nom_mean', 'analizo_anpm_mean', 'analizo_noc_mean', 'analizo_mmloc_mean']"
13,Robot,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robo-Projects,"['analizo_accm_mean', 'analizo_amloc_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_dit_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_acc_mean', 'analizo_mmloc_mean', 'analizo_sc_mean', 'analizo_npa_mean', 'analizo_rfc_mean', 'analizo_npm_mean', 'analizo_noc_mean', 'analizo_nom_mean']"
8,non-agent,0.2423025435073628,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01204819 0.02409639 0.02409639 0.03614458 0.04819277
 0.09638554 0.09638554 0.19277108 0.19277108 0.20481928 0.20481928
 0.36144578 0.36144578 0.37349398 0.39759036 0.48192771 0.4939759
 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.22222222 0.33333333 0.33333333 0.44444444 0.44444444 0.55555556
 0.55555556 0.66666667 0.66666667 0.88888889 0.88888889 1.
 1.        ]",Graphics,"['analizo_anpm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npa_mean', 'analizo_noa_mean', 'analizo_acc_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_cbo_mean', 'analizo_rfc_mean', 'analizo_mmloc_mean', 'analizo_amloc_mean', 'analizo_sc_mean', 'analizo_accm_mean']"
10,non-agent,0.3580246913580247,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01234568 0.0617284  0.0617284  0.13580247 0.13580247
 0.14814815 0.14814815 0.2962963  0.2962963  0.37037037 0.37037037
 0.4691358  0.4691358  0.48148148 0.54320988 0.54320988 0.77777778
 0.79012346 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.  0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 0.9 0.9
 1.  1. ]",Audio,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npa_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_nom_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_lcom4_mean', 'analizo_mmloc_mean', 'analizo_cbo_mean', 'analizo_accm_mean']"
11,agent,0.40224358974358976,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.02564103 0.14102564 0.14102564 0.15384615 0.15384615
 0.21794872 0.21794872 0.30769231 0.30769231 0.33333333 0.33333333
 0.53846154 0.53846154 0.64102564 0.64102564 0.88461538 0.88461538
 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.    0.    0.    0.125 0.125 0.25  0.25  0.375 0.375 0.5   0.5   0.625
 0.625 0.75  0.75  0.875 0.875 1.    1.   ]",Chess,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_npm_mean', 'analizo_noa_mean', 'analizo_rfc_mean', 'analizo_nom_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_noc_mean', 'analizo_npa_mean']"
1,Robot,0.4074074074074074,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01234568 0.11111111 0.11111111 0.4691358  0.4691358
 0.64197531 0.64197531 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.         1.        ]",Robcup-Other-Leagues,"['analizo_dit_mean', 'analizo_mmloc_mean', 'analizo_npa_mean', 'analizo_npm_mean', 'analizo_amloc_mean', 'analizo_rfc_mean', 'analizo_nom_mean', 'analizo_lcom4_mean', 'analizo_accm_mean', 'analizo_acc_mean', 'analizo_noa_mean', 'analizo_sc_mean', 'analizo_anpm_mean', 'analizo_noc_mean', 'analizo_cbo_mean']"
4,non-agent,0.43407172995780596,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.03797468 0.07594937 0.07594937 0.08860759 0.10126582
 0.12658228 0.12658228 0.27848101 0.27848101 0.3164557  0.3164557
 0.32911392 0.32911392 0.40506329 0.40506329 0.55696203 0.58227848
 0.59493671 0.59493671 0.86075949 0.86075949 0.93670886 0.93670886
 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.08333333 0.08333333 0.16666667
 0.16666667 0.25       0.25       0.33333333 0.33333333 0.41666667
 0.41666667 0.58333333 0.58333333 0.66666667 0.66666667 0.66666667
 0.66666667 0.75       0.75       0.91666667 0.91666667 1.
 1.        ]",Ide,"['analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_amloc_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_sc_mean', 'analizo_mmloc_mean', 'analizo_acc_mean', 'analizo_anpm_mean', 'analizo_npa_mean', 'analizo_dit_mean', 'analizo_noc_mean']"
5,non-agent,0.5989010989010989,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.07692308 0.07692308 0.38461538 0.38461538 0.56410256
 0.56410256 0.65384615 0.65384615 0.74358974 0.75641026 0.82051282
 0.83333333 0.93589744 0.93589744 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.14285714 0.14285714 0.28571429 0.28571429
 0.42857143 0.42857143 0.57142857 0.57142857 0.71428571 0.71428571
 0.85714286 0.85714286 1.         1.        ]",Finance,"['analizo_accm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npa_mean', 'analizo_cbo_mean', 'analizo_acc_mean', 'analizo_anpm_mean', 'analizo_noa_mean', 'analizo_nom_mean', 'analizo_rfc_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_npm_mean', 'analizo_lcom4_mean', 'analizo_sc_mean']"
3,non-agent,0.615625,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.     0.0125 0.225  0.225  0.475  0.475  0.525  0.5375 0.625  0.6375
 0.6625 0.6625 0.675  0.675  0.7625 0.7625 0.9625 0.9625 1.    ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.    0.    0.    0.125 0.125 0.25  0.25  0.375 0.375 0.5   0.5   0.625
 0.625 0.75  0.75  0.875 0.875 1.    1.   ]",Mobile,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_npm_mean', 'analizo_nom_mean', 'analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_noc_mean', 'analizo_amloc_mean', 'analizo_cbo_mean', 'analizo_mmloc_mean', 'analizo_rfc_mean', 'analizo_sc_mean', 'analizo_accm_mean']"
6,non-agent,0.6213333333333333,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01333333 0.05333333 0.05333333 0.22666667 0.24
 0.29333333 0.29333333 0.41333333 0.41333333 0.45333333 0.45333333
 0.52       0.52       0.57333333 0.57333333 0.61333333 0.62666667
 0.69333333 0.69333333 0.77333333 0.77333333 0.92       0.92
 0.94666667 0.94666667 0.98666667 0.98666667 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.06666667 0.06666667 0.13333333
 0.13333333 0.2        0.2        0.26666667 0.26666667 0.33333333
 0.33333333 0.4        0.4        0.46666667 0.46666667 0.53333333
 0.53333333 0.6        0.6        0.66666667 0.66666667 0.86666667
 0.86666667 0.93333333 0.93333333 1.         1.        ]",Education,"['analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_noc_mean', 'analizo_dit_mean', 'analizo_npm_mean', 'analizo_nom_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_acc_mean', 'analizo_sc_mean', 'analizo_rfc_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_accm_mean']"
9,non-agent,0.6504065040650406,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.02439024 0.24390244 0.24390244 0.73170732 0.73170732
 0.97560976 0.97560976 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.         1.        ]",Robot-Simulation,"['analizo_acc_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_amloc_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_rfc_mean', 'analizo_noa_mean', 'analizo_noc_mean', 'analizo_mmloc_mean']"
2,non-agent,0.6526041666666668,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.     0.025  0.1625 0.1625 0.525  0.525  0.55   0.55   0.6125 0.6125
 0.625  0.6375 0.6625 0.7875 0.8    0.8    0.875  0.8875 0.8875 0.9875
 0.9875 1.     1.    ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.08333333 0.08333333 0.16666667 0.16666667 0.25
 0.25       0.33333333 0.33333333 0.41666667 0.5        0.5
 0.5        0.5        0.58333333 0.66666667 0.66666667 0.75
 0.83333333 0.83333333 0.91666667 0.91666667 1.        ]",Security,"['analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_amloc_mean', 'analizo_sc_mean', 'analizo_mmloc_mean', 'analizo_accm_mean', 'analizo_npa_mean', 'analizo_acc_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_dit_mean', 'analizo_noc_mean']"
7,non-agent,0.7080357142857143,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.     0.0125 0.45   0.45   0.55   0.55   0.65   0.65   0.825  0.825
 0.8625 0.875  0.9625 0.9625 1.    ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.57142857 0.57142857 0.71428571 0.71428571 0.85714286
 0.85714286 1.         1.        ]",Games,"['analizo_cbo_mean', 'analizo_dit_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_acc_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_noc_mean', 'analizo_rfc_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_lcom4_mean', 'analizo_sc_mean', 'analizo_mmloc_mean', 'analizo_accm_mean']"
0,agent,0.7658730158730159,0.46153846153846156,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.03571429 0.08333333 0.08333333 0.35714286 0.35714286
 0.78571429 0.78571429 0.86904762 0.86904762 0.91666667 0.91666667
 0.98809524 0.98809524 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.22222222 0.33333333 0.33333333 0.44444444 0.44444444 0.66666667
 0.66666667 1.         1.        ]",Robocup-2D,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_cbo_mean', 'analizo_npa_mean', 'analizo_noa_mean', 'analizo_amloc_mean', 'analizo_sc_mean', 'analizo_rfc_mean', 'analizo_accm_mean', 'analizo_noc_mean', 'analizo_mmloc_mean']"
12,agent,0.9397590361445782,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.04819277 0.92771084 0.92771084 0.95180723 0.95180723
 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,[0.  0.  0.  0.5 0.5 1.  1. ],Anac,"['analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_dit_mean', 'analizo_acc_mean', 'analizo_noc_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_rfc_mean', 'analizo_mmloc_mean', 'analizo_amloc_mean', 'analizo_accm_mean']"
13,Robot,,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",[0.         0.04938272 1.        ],"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,[nan nan nan],Robo-Projects,"['analizo_anpm_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_noa_mean', 'analizo_acc_mean', 'analizo_sc_mean', 'analizo_rfc_mean', 'analizo_mmloc_mean', 'analizo_amloc_mean', 'analizo_accm_mean', 'analizo_dit_mean', 'analizo_cbo_mean', 'analizo_npa_mean', 'analizo_noc_mean']"
