,competition,group_name,year,team_manual,_merge,is_source_x
231,WorldCup,nao-client,1996,,left_only,
487,WorldCup,ogalets,1996,,left_only,True
424,WorldCup,ogalets-ver3_x,1996,,left_only,True
90,WorldCup,sekine_client,1996,,left_only,True
333,WorldCup,CMUnited97-source,1997,,left_only,True
429,WorldCup,RoboCup-97-ISIS,1997,,left_only,True
312,WorldCup,agent,1997,,left_only,True
253,WorldCup,andhill_RoboCup97,1997,,left_only,True
414,WorldCup,ath97,1997,,left_only,True
185,WorldCup,ATH_98,1998,,left_only,
494,WorldCup,CMUnited98-source,1998,,left_only,
506,WorldCup,Kappa_v0,1998,,left_only,True
68,WorldCup,andhill98,1998,,left_only,Trueconfig=Config(signature_version=UNSIGNED)
147,WorldCup,ath97,1998,,left_only,True
24,WorldCup,samba98,1998,,left_only,
345,WorldCup,11monkeys-linux,1999,,left_only,
82,WorldCup,CMUnited99-linux,1999,,left_only,
488,WorldCup,CMUnited99-source,1999,,left_only,
238,WorldCup,CMUnited99-support,1999,,left_only,
311,WorldCup,CoachRC99,1999,,left_only,True
479,WorldCup,YowAI-linux-VA,1999,,left_only,
182,WorldCup,YowAI-linux-static-VA,1999,,left_only,
443,WorldCup,Zeng99-source-release,1999,,left_only,True
243,WorldCup,ew99,1999,,left_only,
504,WorldCup,ew99_sources,1999,,left_only,True
169,WorldCup,kappaII,1999,,left_only,
439,WorldCup,kit0726v4,1999,,left_only,True
172,WorldCup,ATTCMUnited2000-linux,2000,,left_only,
219,WorldCup,BS2K_Melbourne2000,2000,,left_only,
55,WorldCup,BS2K_Melbourne2000_CodeRelease,2000,,left_only,True
106,WorldCup,Cyberoos2000,2000,,left_only,
288,WorldCup,FCPortugalMelbBin,2000,,left_only,
97,WorldCup,RC2000-oz,2000,,left_only,True
307,WorldCup,ew00,2000,,left_only,
204,WorldCup,mrb2000,2000,,left_only,
471,WorldCup,virtualwerder,2000,,left_only,
308,WorldCup,BS01_Seatle2001_BinaryRelease,2001,,left_only,
301,WorldCup,DirtyDozenSource,2001,,both,True
431,WorldCup,FCPortugal2000ConfSeattle,2001,,both,
153,WorldCup,FCPortugalMelbourne,2001,,both,
385,WorldCup,FCPortugalSeattleBin,2001,,both,
272,WorldCup,FuzzyFoo-2001-linux-x86,2001,,left_only,
58,WorldCup,FuzzyFoo-2001-source,2001,,left_only,True
146,WorldCup,Harmony-seattle,2001,,both,
379,WorldCup,RMITGoannasBin2001,2001,,left_only,
165,WorldCup,Respina2001Bin,2001,,both,
81,WorldCup,SBCpp-source,2001,,left_only,
118,WorldCup,SimCanuck-bin-Linux-Seattle2001,2001,,both,
142,WorldCup,TUT-groove20010728_linux-bin,2001,,left_only,
271,WorldCup,UvA_2001_Binary,2001,,left_only,
131,WorldCup,WrightEagle2001,2001,,both,
54,WorldCup,YowAI2001-Seattle,2001,,both,
20,WorldCup,Zeng-20010803-Seattle,2001,,both,
478,WorldCup,ateam-seattle01_linux_bin,2001,,both,
499,WorldCup,athumboldt2001,2001,,both,
428,WorldCup,cyberoos2001,2001,,both,
347,WorldCup,dd2001,2001,,left_only,
422,WorldCup,drweb-seattle-binary,2001,,left_only,
482,WorldCup,gemini01_linux,2001,,both,
348,WorldCup,mrb2001,2001,,left_only,
351,WorldCup,parsai-code1,2001,,left_only,True
283,WorldCup,robolog-rc01,2001,,left_only,
57,WorldCup,trilearn_2001_release,2001,,both,
329,WorldCup,tsinghuaeolus,2001,,both,
127,WorldCup,Arvand2002,2002,,both,
265,WorldCup,BS02_Fukuoka02_BinaryRelease,2002,,both,
266,WorldCup,BUGS-2002-src,2002,bugs2002jp,both,True
140,WorldCup,Coach1FCPBin,2002,,both,
490,WorldCup,CoachTeamBin,2002,,left_only,
14,WorldCup,Cyberoos2002,2002,,both,
469,WorldCup,ERA-Polytech-RC02,2002,,both,
486,WorldCup,FCPortugal2002Bin,2002,,both,
207,WorldCup,HELIOS-02Fukuoka,2002,,both,
292,WorldCup,HELIOS-02Fukuoka-static,2002,,both,
98,WorldCup,HelliRespina2002FukuokaBin,2002,,both,
213,WorldCup,HelliRespina2002FukuokaCoachBin,2002,,both,
65,WorldCup,HelliRespina2002FukuokaCoachableBin,2002,,both,
197,WorldCup,Iranians_2002_Binary,2002,,both,
459,WorldCup,OZip-20020524,2002,,left_only,
383,WorldCup,Puppets-2002-Fukuoka,2002,,both,
493,WorldCup,RoboSoc-20020415,2002,,left_only,
19,WorldCup,TUT-ChoNaSo,2002,,both,
36,WorldCup,Thunder2002-binary,2002,,both,
40,WorldCup,United2002-linux,2002,,both,
437,WorldCup,United2002-source,2002,,both,
325,WorldCup,WROCLAW2002,2002,,both,
49,WorldCup,WrightEagle2002,2002,,both,
201,WorldCup,WrightEagleCoach2002BaseCode,2002,,both,
501,WorldCup,YowAI2002-Fukuoka-Binary,2002,,both,
84,WorldCup,athumboldt2002,2002,,both,
275,WorldCup,chagama-rc02,2002,chagamma,both,
389,WorldCup,mrb2002,2002,,both,
457,WorldCup,player,2002,,left_only,
282,WorldCup,robolog-rc02,2002,robolog2k2,both,
39,WorldCup,trilearn_2002_binary,2002,,both,
300,WorldCup,trilearn_2002_source,2002,,both,
319,WorldCup,trilearn_2002_source_pen,2002,,both,
50,WorldCup,tsinghuaeolus2002,2002,,both,
346,WorldCup,vw2002Bin,2002,,both,
492,WorldCup,FCPortugal2003,2003,,both,
278,WorldCup,a4ty-RC2003,2003,,left_only,
413,WorldCup,aria-RC2003,2003,,both,
132,WorldCup,austin-RC2003,2003,,left_only,
359,WorldCup,bold-RC2003,2003,boldhearts,both,
323,WorldCup,brainstormers-RC2003,2003,brainstormers03,both,
249,WorldCup,caspian-RC2003,2003,,both,
245,WorldCup,chagamma-rc2003,2003,,both,
273,WorldCup,cyberoos-RC2003,2003,cyberoos2003,both,
320,WorldCup,drweb-RC2003,2003,,both,
425,WorldCup,eka-RC2003,2003,,left_only,
270,WorldCup,gemini-RC2003,2003,,both,
221,WorldCup,hana-RC2003,2003,,both,
120,WorldCup,helios-RC2003,2003,helios2003,both,
297,WorldCup,humboldt-RC2003,2003,,both,
491,WorldCup,iranians-RC2003,2003,,both,
163,WorldCup,isocrob-RC2003,2003,isocrob2003,both,
335,WorldCup,kimia-rc2003,2003,,both,
516,WorldCup,magma-rc2003,2003,mgmafurtwangen,both,
377,WorldCup,mainz-rc2003,2003,,left_only,
310,WorldCup,nit-RC2003,2003,,left_only,
388,WorldCup,owl2003-RC2003,2003,,both,
505,WorldCup,oxsy-RC2003,2003,,both,
331,WorldCup,oz-RC2003,2003,,left_only,
101,WorldCup,portugal-RC2003,2003,,left_only,
167,WorldCup,portugal-rc2003,2003,,left_only,
467,WorldCup,puppets-RC2003,2003,,both,
321,WorldCup,robolog-RC2003,2003,robolog2k3,both,
396,WorldCup,sfunleashed-RC2003,2003,,both,
421,WorldCup,sirim-RC2003,2003,,both,
9,WorldCup,thunder-RC2003,2003,,both,
186,WorldCup,thunder-rc2003,2003,,both,
161,WorldCup,trilearn-rc2003,2003,,both,
149,WorldCup,trilearn_rc2003_bin,2003,,both,
151,WorldCup,trilearn_rc2003_bin_static,2003,,both,
211,WorldCup,tsing-RC2003,2003,,left_only,
178,WorldCup,tsinghuaeolus-RC2003,2003,,both,
456,WorldCup,werder-rc2003,2003,we2003,both,
155,WorldCup,wright-RC2003,2003,,left_only,
5,WorldCup,yamaarashi-RC2003,2003,,both,
409,WorldCup,yowa-RC2003,2003,yowai2003,both,
21,WorldCup,zju03_padova_bin,2003,zjubase,both,
460,WorldCup,Aria2d,2004,,both,
435,WorldCup,BrainstormersPortugal04,2004,brainstormers04,both,
387,JapanOpens,CHELLO,2004,,both,
476,JapanOpens,F-Blitz,2004,,left_only,
110,WorldCup,Mersad-3,2004,,both,True
458,JapanOpens,NITStones,2004,nitstones2004,both,
152,AutumnCamp,NITinPossible,2004,,both,
18,AutumnCamp,NITroG,2004,,both,
427,AutumnCamp,Rhona2003,2004,,both,
306,AutumnCamp,Rhona2004,2004,,both,
315,WorldCup,RoboLog2D,2004,,both,
72,WorldCup,STEP-RoboCup2004,2004,,both,
199,JapanOpens,WinKIT_20040504,2004,,both,
453,AutumnCamp,YowAI2004_autumn,2004,,both,
246,JapanOpens,YowAI2004jo,2004,,both,
156,WorldCup,YowAI_RC2004,2004,,both,
143,WorldCup,aeolus04,2004,,left_only,
380,JapanOpens,anct2004,2004,,both,
247,AutumnCamp,anct2004_acamp04,2004,,both,
401,WorldCup,borregos_rc2004,2004,,both,
187,WorldCup,fcportugal2004Team2d,2004,,both,
235,JapanOpens,fuk2-freebsd-jo04,2004,,both,
103,AutumnCamp,hana_ac2004,2004,hana,both,
52,JapanOpens,hana_jo04,2004,,both,
455,AutumnCamp,raic04-bsd-autumncamp,2004,raic2004,both,
196,JapanOpens,raic04-linux-jo2,2004,raic2004,both,
123,WorldCup,tokyotech-04Lisbon,2004,tokyotech2004,both,
262,AutumnCamp,tokyotech-acamp04-linux,2004,tokyotech2004,both,
485,JapanOpens,tokyotech-jo04,2004,tokyotech2004,both,
237,JapanOpens,tokyotech-jopen04-linux,2004,tokyotech2004,both,
220,WorldCup,trilearn_rc2004_bin,2004,,both,
445,WorldCup,vw-rc2004,2004,vw2004,both,
8,WorldCup,vw-rc2004-coach-src,2004,vw2004,both,
86,WorldCup,vw-rc2004-src,2004,vw2004,both,True
395,WorldCup,zjubase_lisbon_2004,2004,,both,
386,WorldCup,Brainstormers_rc2005_2d_bin,2005,brainstormers05,both,
70,WorldCup,FCPortugal_rc2005_2d_bin,2005,fcportugal2005,both,
15,WorldCup,RoboSina_rc2005_2d_bin,2005,,both,
261,WorldCup,SEU_T_rc2005_2d_bin,2005,,left_only,
498,WorldCup,WrightEagle2005_rc2005_2d_bin,2005,we2005,both,
332,WorldCup,YowAI2005_rc2005_2d_bin,2005,,both,
381,WorldCup,ZJUBase_rc2005_2d_bin,2005,,both,
78,WorldCup,tokyotech_rc2005_2d_bin,2005,tokyotech2005,both,
208,WorldCup,trilearn_rc2005_2d_bin,2005,,both,
32,WorldCup,Brainstormers06_rc2006_bin,2006,,both,
412,WorldCup,DainamiteBremen2006,2006,,both,
16,WorldCup,WrightEagle2D_rc2006_bin,2006,we2006,both,
176,WorldCup,YowAI_rc2006_bin,2006,yowai2006,both,
195,WorldCup,oxsy,2006,,both,
137,WorldCup,robosina,2006,,both,
340,WorldCup,seu2d,2006,,both,
398,WorldCup,tokyotech-06Bremen,2006,tokyotech2006,both,
441,WorldCup,tokyotech_rc2006_bin,2006,tokyotech2006,both,
330,ChinaOpens,AmoiensisNQ,2007,,both,
121,ChinaOpens,Apollo,2007,,left_only,
483,AutumnCamp,BIG_KUBO_BEARS,2007,bigkubobearsjin,both,
433,WorldCup,Brainstormers07_rc2007_bin,2007,,both,
138,ChinaOpens,CZU,2007,,both,
369,ChinaOpens,DreamWing,2007,,both,
250,AutumnCamp,Elysion_Autumn_bin,2007,,both,
370,AutumnCamp,FC-PESCA,2007,,both,
158,ChinaOpens,GDUT,2007,,left_only,
64,WorldCup,HELIOS_rc2007_bin,2007,helios2007,both,
46,ChinaOpens,HfutEngine,2007,,both,
508,ChinaOpens,JMU,2007,,both,
264,AutumnCamp,KU_BOST,2007,,both,
83,JapanOpens,MIKK_jo2007,2007,,both,
6,AutumnCamp,Meister_OPU,2007,,both,
461,AutumnCamp,NaRi-one_Autumn_bin,2007,,both,
94,JapanOpens,ODENS_jo2007,2007,,both,
205,AutumnCamp,Obake_OPUAutumunBinary,2007,,both,
350,AutumnCamp,Okarobo,2007,,both,
126,WorldCup,Oxsy_rc2007_bin,2007,,both,
160,AutumnCamp,ReKM,2007,,both,
375,JapanOpens,Ri-one_2007_bin_jo2007,2007,,both,
252,AutumnCamp,Ri-one_Autumn_bin,2007,,both,
225,ChinaOpens,SPAM-Tehran,2007,,both,
423,ChinaOpens,Strive,2007,,both,
63,JapanOpens,ThinkingAnts_jo2007,2007,,both,
420,ChinaOpens,UJS,2007,,left_only,
337,ChinaOpens,Victory-1_CUMT,2007,,both,
303,ChinaOpens,WrightEagle,2007,we2007,both,
119,ChinaOpens,ZcvcTR,2007,zcvctf,both,
509,JapanOpens,anct2007_jo2007,2007,,both,
232,JapanOpens,big_kubo_bears_jo2007,2007,,both,
135,WorldCup,czu2d,2007,,both,
214,WorldCup,fcp2d,2007,fcportugal2007,both,
466,AutumnCamp,helios-ac2007,2007,,both,
53,JapanOpens,helios_jo2007,2007,helios2007,both,
244,WorldCup,kotug,2007,,left_only,True
122,WorldCup,ncl,2007,ncl07,both,
105,WorldCup,nemesis,2007,,both,
313,JapanOpens,nopporoes07_jo2007,2007,,both,
440,JapanOpens,okarobo_jo2007,2007,,both,
47,AutumnCamp,puppets,2007,,both,
454,JapanOpens,raic07_jo2007,2007,raic2007,both,
352,WorldCup,rione,2007,,both,
372,WorldCup,wright2d,2007,we2007,both,
462,WorldCup,yowai,2007,,both,
51,JapanOpens,yowai_jo2007,2007,,both,
289,WorldCup,ATH_rc08_release,2008,,both,
430,ChinaOpens,AUA,2008,,both,
1,WorldCup,AmoyNQ_rc08_release,2008,,both,
173,ChinaOpens,Apollo,2008,,both,
279,JapanOpens,BKB_jin_AI,2008,,left_only,True
470,WorldCup,Brainstormers_rc08_release,2008,brainstormers08,both,
227,WorldCup,Dainamite_rc08_release,2008,,both,
514,ChinaOpens,DesertEgl,2008,,both,
484,JapanOpens,FC-PESCA,2008,,both,True
170,JapanOpens,FC-PESCA-jopen08-linux,2008,,both,
189,JapanOpens,Fifty-Storms,2008,,both,True
267,JapanOpens,Fifty-Storms-jopen08-linux,2008,,both,
403,JapanOpens,HELIOS-jopen08-linux,2008,helios2008,both,
448,JapanOpens,HELIOZ,2008,,both,True
357,WorldCup,HFut_rc08_release,2008,hfutengine2d,both,
229,WorldCup,Helios_rc08_release,2008,helios2008,both,
477,ChinaOpens,HelliBASH2D,2008,,both,
515,ChinaOpens,HfutEngine,2008,,both,
376,JapanOpens,KU_BOST,2008,,both,True
361,JapanOpens,KU_BOST-jopen08-linux,2008,,both,
257,WorldCup,NCL08_rc08_release,2008,,both,
393,JapanOpens,Nopporoes8,2008,nopporoes08,both,True
394,JapanOpens,Nopporoes8,2008,nopporoes08,both,True
502,JapanOpens,Nopporoes8-jopen08-linux,2008,nopporoes08,both,
503,JapanOpens,Nopporoes8-jopen08-linux,2008,nopporoes08,both,
304,JapanOpens,OPU_hana_2D_jo08,2008,,both,
285,WorldCup,OPU_hana_2D_rc08_release,2008,,both,
124,JapanOpens,Obake_Japan_Open,2008,,left_only,
363,JapanOpens,Obake_OPU,2008,,both,True
399,JapanOpens,Okarobo-jopen08-linux,2008,,both,
513,WorldCup,OxBlue_rc08_release,2008,,both,
400,WorldCup,Oxsy_rc08_release,2008,,both,
242,JapanOpens,RaiC08Bin_JO08,2008,,both,
280,JapanOpens,Re_KUMA,2008,,both,
139,WorldCup,Ri-one_rc08_release,2008,,both,
468,ChinaOpens,Strive,2008,,both,
37,JapanOpens,TDU_ThinkingAnts-jopen08-linux,2008,tduthinkingants,both,
192,JapanOpens,TsubameGaeshi-jopen08-linux,2008,,both,
66,ChinaOpens,WrightEagle,2008,,both,
367,WorldCup,WrightEagle_rc08_release,2008,we2008,both,
411,JapanOpens,YowAI,2008,,both,
436,ChinaOpens,ZcvcTF,2008,,both,
343,JapanOpens,anct2008,2008,,both,True
489,JapanOpens,puppets-JapanOpen2008,2008,,both,True
318,JapanOpens,puppets-jopen08-linux,2008,,both,
56,JapanOpens,BIG_KUBO_BEARS,2009,,both,True
27,PRIMA,BKB_PRIMA2009,2009,,left_only,True
407,JapanOpens,Emis-L,2009,,left_only,
200,PRIMA,Fifty-Storms,2009,,both,
447,JapanOpens,Fifty-Storms_RCJO09,2009,storms09,both,True
256,JapanOpens,HELIOS-jopen09-linux,2009,helios2009,both,
353,JapanOpens,Hillstone_United_JapanOpen2009,2009,,both,True
419,JapanOpens,RaiC09RCJO,2009,,both,True
88,JapanOpens,Ri-one_JapanOpen2009,2009,,both,
259,PRIMA,Ri-one_PRIMA09,2009,,both,
511,PRIMA,TDUThinkingAnts2009,2009,,both,True
392,AUTCUP,apadis_autcup_64,2009,,left_only,
145,WorldCup,bahia2d-rc09,2009,,both,
373,AUTCUP,bluegene_autcup_64,2009,,left_only,
339,WorldCup,brainstormers-rc09,2009,brainstormers09,both,
358,WorldCup,dainamite-rc09,2009,,both,
91,AUTCUP,eskilas_autcup,2009,,left_only,
188,AUTCUP,fabulous_autcup,2009,,left_only,
209,AUTCUP,farenheit_autcup,2009,,left_only,
116,WorldCup,fcportugal2d-rc09,2009,,both,
404,WorldCup,fifty-storms-rc09,2009,storms09,both,
76,WorldCup,helios-rc09,2009,helios2009,both,
382,WorldCup,hellibash-rc09,2009,,both,
157,PRIMA,hillstone_u,2009,,both,True
69,AUTCUP,immortal_autcup_64,2009,,left_only,
248,AUTCUP,irantak_autcup_64,2009,,left_only,
62,WorldCup,kickofftug-rc09,2009,,both,
233,WorldCup,leakindrops-rc09,2009,,both,
397,WorldCup,lishang-rc09,2009,,both,
374,WorldCup,lsuamoynq-rc09,2009,,both,
67,AUTCUP,maha_autcup_64,2009,,left_only,
341,WorldCup,ncl-rc09,2009,ncl09,both,
510,WorldCup,nemesis-rc09,2009,nemesisrc09,both,
71,JapanOpens,opuCI_2D_JapanOpen2009,2009,,both,
216,PRIMA,opuCI_2D_PRIMA2009,2009,,both,
284,WorldCup,opuci-rc09,2009,,both,
59,WorldCup,oxblue-rc09,2009,oxblue09,both,
472,WorldCup,oxsy-rc09,2009,,both,
480,AUTCUP,paranoid_autcup,2009,,left_only,
327,AUTCUP,robokick_autcup_64,2009,,left_only,
464,WorldCup,robosampad-rc09,2009,,both,
128,AUTCUP,robotoos_autcup_64,2009,,left_only,
44,AUTCUP,sourena_autcup_64,2009,,left_only,
444,JapanOpens,tsubamegaeshi-fcpita-all,2009,,both,True
73,AUTCUP,unique2d_autcup_64,2009,,left_only,
342,AUTCUP,united_autcup,2009,,left_only,
7,WorldCup,unknown09-rc09,2009,,both,
299,WorldCup,wrighteagle-rc09,2009,,both,
260,AUTCUP,xifoid_autcup,2009,,left_only,
100,ChinaOpens,AUA,2010,,left_only,
298,ChinaOpens,AUAF,2010,,left_only,
74,ChinaOpens,BITSS,2010,,left_only,
95,ChinaOpens,CSU_YunLu,2010,,left_only,
35,ChinaOpens,Lion-griffin2010,2010,,left_only,
28,ChinaOpens,TJNU,2010,,left_only,
43,WorldCup,apollo-rc2010,2010,,both,
171,WorldCup,aua-rc2010,2010,,both,
89,WorldCup,bahia-rc2010,2010,,both,
217,WorldCup,eskilas-rc2010,2010,,both,
384,WorldCup,fcpars-rc2010,2010,,both,
29,WorldCup,fcportugal-rc2010,2010,,both,
22,WorldCup,fiftystorms-rc2010,2010,,both,
162,WorldCup,helios-rc2010,2010,,both,
210,WorldCup,hfutengine-rc2010,2010,,both,
326,WorldCup,iran-rc2010,2010,,both,
60,WorldCup,kickofftug-rc2010,2010,,both,
175,WorldCup,ncl-rc2010,2010,,both,
446,WorldCup,nemesis-rc2010,2010,,both,
198,WorldCup,opuci-rc2010,2010,,both,
10,WorldCup,oxsy-rc2010,2010,,both,
496,WorldCup,raic-rc2010,2010,,both,
75,WorldCup,rione-rc2010,2010,,both,
224,WorldCup,unique-rc2010,2010,,both,
159,WorldCup,wrighteagle-rc2010,2010,,both,
12,JapanOpens,CMU2011,2011,,both,True
193,JapanOpens,Fifty-Storms2011_bin,2011,,both,
251,JapanOpens,HillStone_bin,2011,,both,True
115,JapanOpens,Puppets-JapanOpen2011,2011,,both,True
474,JapanOpens,Ri-oneJopen2011,2011,,both,
324,ChinaOpens,abit,2011,,both,
203,WorldCup,abouali-rc2011,2011,,left_only,
495,ChinaOpens,amoynq,2011,,both,
240,WorldCup,apollo-rc2011,2011,,both,
148,ChinaOpens,apollo2d,2011,,both,
125,WorldCup,aua-rc2011,2011,,both,
277,ChinaOpens,aua2d,2011,,both,
371,ChinaOpens,bjut,2011,,both,
134,ChinaOpens,bluespider,2011,,both,
360,ChinaOpens,csu,2011,,left_only,
432,WorldCup,daina-rc2011,2011,,left_only,
328,ChinaOpens,dreamwing,2011,,both,
234,WorldCup,edin-rc2011,2011,,left_only,
355,WorldCup,eskilas-rc2011,2011,,both,
87,ChinaOpens,gdut,2011,,both,
206,JapanOpens,helios-fu-jopen2011,2011,,both,
190,JapanOpens,helios-jopen2011,2011,,both,
281,WorldCup,helios-rc2011,2011,,both,
218,WorldCup,hfut-rc2011,2011,,left_only,
112,ChinaOpens,hfutengine,2011,,both,
102,WorldCup,marlik-rc2011,2011,,both,
434,ChinaOpens,miracle,2011,,both,
512,ChinaOpens,mpj,2011,,both,
296,ChinaOpens,nadco,2011,,both,
336,WorldCup,nadco-rc2011,2011,,both,
114,WorldCup,oxsy-rc2011,2011,,both,
276,WorldCup,photon-rc2011,2011,,both,
215,WorldCup,portugal-rc2011,2011,,left_only,
222,WorldCup,raic-rc2011,2011,,both,
316,WorldCup,rione-rc2011,2011,,both,
77,ChinaOpens,riton,2011,,both,
202,WorldCup,rmas-rc2011,2011,,left_only,
2,ChinaOpens,swun,2011,,both,
109,ChinaOpens,tjnu,2011,,both,
354,JapanOpens,toyosu_galaxy2011_bin,2011,,both,
426,ChinaOpens,wonderpines,2011,,both,
34,WorldCup,wright-rc2011,2011,,left_only,
96,ChinaOpens,wrighteagle,2011,,both,
92,ChinaOpens,yushan,2011,,both,
334,WorldCup,AUT_2D_Source,2012,,both,True
344,WorldCup,Axiom_Binary_Release2012,2012,,both,
338,WorldCup,Axiom_SourceCode_Release2012,2012,,both,True
449,WorldCup,WarthogRobotics,2012,,both,True
362,WorldCup,WarthogRobotics-RC2012,2012,,both,True
99,WorldCup,WrightEagle,2012,,both,
254,ChinaOpens,apollo2d,2012,,both,
405,ChinaOpens,aua2d,2012,,both,
408,ChinaOpens,bjut,2012,,both,True
31,WorldCup,borregos2d,2012,,both,
416,ChinaOpens,csu_yunlu,2012,,both,
391,ChinaOpens,dreamwing2d,2012,,both,
255,WorldCup,fcportugal2d,2012,,both,
212,WorldCup,fcportugal2d_src,2012,,both,True
500,WorldCup,gdut_tiji,2012,,both,
294,ChinaOpens,gdut_tiji2012,2012,,both,
144,WorldCup,gliders2012,2012,,both,
417,WorldCup,gpr-2d,2012,,both,
154,ChinaOpens,hfutengine,2012,,both,
129,ChinaOpens,hfuu-mt,2012,,left_only,
61,WorldCup,itandroids,2012,,both,
349,ChinaOpens,lntu_taac2012,2012,,both,True
85,WorldCup,marlik,2012,,left_only,True
183,ChinaOpens,miracle2012,2012,,both,True
293,WorldCup,nadco-2d,2012,,both,
286,WorldCup,oxsy,2012,,both,
452,WorldCup,ri-one,2012,,both,
223,WorldCup,riton,2012,,both,
287,WorldCup,robotto_soccer_simulation_2d,2012,,both,True
239,ChinaOpens,tjnu,2012,,both,
258,ChinaOpens,tornado,2012,,both,
269,ChinaOpens,wonderpines,2012,,both,
410,ChinaOpens,wrighteagle,2012,,both,
104,ChinaOpens,xmunq,2012,,both,
241,WorldCup,yushan,2012,,both,
442,ChinaOpens,yushan2012,2012,,both,
3,WorldCup,autmasterminds,2013,,both,
179,WorldCup,axiom,2013,,both,
451,WorldCup,csuyunlu,2013,,both,
517,WorldCup,cyrus,2013,,both,
356,WorldCup,fcperspolis,2013,,both,
113,WorldCup,fcportugal,2013,,both,
4,WorldCup,gduttiji,2013,,both,
507,WorldCup,gliders,2013,,both,
111,WorldCup,gpr2d,2013,,both,
48,WorldCup,helios,2013,,both,
150,WorldCup,hfutengine,2013,,both,
475,WorldCup,itandroids,2013,,both,
322,WorldCup,legendary,2013,,both,
497,WorldCup,oxsy,2013,,both,
226,WorldCup,rione,2013,,both,
418,WorldCup,ubcthunderbots,2013,,both,
93,WorldCup,warthog,2013,,left_only,
42,WorldCup,wrighteagle,2013,,both,
168,WorldCup,yushan,2013,,both,
164,WorldCup,AUTParsianRobocup2014,2014,,both,
263,WorldCup,CYRUSRobocup2014,2014,,both,
117,WorldCup,EnigmaRobocup2014,2014,,both,
80,WorldCup,Gliders2014Robocup2014,2014,,both,
45,WorldCup,HELIOS2014Robocup2014,2014,,both,
317,WorldCup,HERMESRobocup2014,2014,,both,
366,WorldCup,HfutEngineRobocup2014,2014,,both,
38,WorldCup,InfoGraphicsRobocup2014,2014,,both,
290,WorldCup,OxsyRobocup2014,2014,,both,
0,WorldCup,Ri-oneRobocup2014,2014,,both,True
184,WorldCup,UFSJ2DRobocup2014,2014,,both,True
180,WorldCup,WrightEagleRobocup2014,2014,,both,
26,WorldCup,Yushan2014Robocup2014,2014,,both,
33,LARC,expertinos,2014,,both,
291,LARC,fcp_gpr_2014,2014,,both,True
314,LARC,itandroids,2014,,both,
365,LARC,nexus2d,2014,,both,
309,LARC,pmec_allejos2d,2014,,both,True
450,LARC,red_dragons,2014,,left_only,
438,LARC,robotbulls,2014,,both,
166,LARC,sirsoccer,2014,,both,
79,WorldCup,tokA1_Binary,2014,,both,True
17,LARC,tropeiros,2014,,both,True
368,LARC,ufsj_2d,2014,,both,True
236,LARC,warthog,2014,,left_only,
390,LARC,zombie_gear,2014,,both,True
473,WorldCup,CSU_Yunlu,2015,,both,
141,WorldCup,GDUT-TiJi2015,2015,,both,
302,WorldCup,Genius2015,2015,,both,
378,WorldCup,Gliders2015,2015,,both,
465,WorldCup,HELIOS2015,2015,,both,
406,WorldCup,HERMES,2015,,both,
194,WorldCup,HfutEngine2015,2015,,both,
177,WorldCup,ITAndroids,2015,,both,
463,WorldCup,Jaeger,2015,,both,
481,WorldCup,MT2015,2015,,both,
228,WorldCup,Phonix,2015,,both,
130,WorldCup,Rhoban,2015,,both,
268,WorldCup,WrightEagle,2015,,both,
181,WorldCup,YuShan2015,2015,,both,
133,WorldCup,r3,2015,,left_only,
364,WorldCup,rione2015-07-21,2015,,both,
274,WorldCup,CSU_Yunlu,2016,,both,
295,WorldCup,CYRUS,2016,,both,
136,WorldCup,FCP_GPR_2014,2016,,both,True
108,WorldCup,FRA-UNIted,2016,,both,
23,WorldCup,Gliders2016,2016,,both,
41,WorldCup,HELIOS2016,2016,,both,
415,WorldCup,Hermes,2016,,both,
174,WorldCup,HfutEngine2016,2016,,both,True
11,WorldCup,HillStone,2016,,both,True
230,WorldCup,ITAndroids,2016,,both,True
25,WorldCup,LeftEagle,2016,,both,
402,WorldCup,MT2016,2016,,both,
107,WorldCup,MarliK,2016,,both,
191,WorldCup,Oxsy,2016,,both,
305,WorldCup,Ri-one,2016,,both,
13,WorldCup,Shiraz,2016,,both,
30,WorldCup,WrightEagle2015,2016,,both,
