2014_WorldCup_hfutengine3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2014/hfutengine3d.tar.gz,hfutengine3d,,/home/se-metrics/root/data_binaries-3D-proccessed//2014_WorldCup_hfutengine3d,2014_WorldCup_hfutengine3d,,2014
2008_WorldCup_parsian_rc08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2008/parsian_rc08.tar.gz,parsian_rc08,,/home/se-metrics/root/data_binaries-3D-proccessed//2008_WorldCup_parsian_rc08,2008_WorldCup_parsian_rc08,,2008
2015_ChinaOpens_apollo3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChinaOpens,/home/se-metrics/root/data-binaries-3D//ChinaOpens2015/apollo3d.tar.gz,apollo3d,,/home/se-metrics/root/data_binaries-3D-proccessed//2015_ChinaOpens_apollo3d,2015_ChinaOpens_apollo3d,,2015
2014_WorldCup_l3m-sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2014/l3m-sim.tar.gz,l3m-sim,,/home/se-metrics/root/data_binaries-3D-proccessed//2014_WorldCup_l3m-sim,2014_WorldCup_l3m-sim,,2014
2011_GermanOpens_beestanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanOpens,/home/se-metrics/root/data-binaries-3D//GermanOpens2011/beestanbul.tar.gz,beestanbul,,/home/se-metrics/root/data_binaries-3D-proccessed//2011_GermanOpens_beestanbul,2011_GermanOpens_beestanbul,,2011
2009_WorldCup_robopub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2009/robopub.tar.gz,robopub,,/home/se-metrics/root/data_binaries-3D-proccessed//2009_WorldCup_robopub,2009_WorldCup_robopub,,2009
2012_ChinaOpens_CIT3D,,,,,,0,0,None,0,0,0,0,None,0,0,0,0,0,0,1.5,None,1.5,1.5,1.5,1.5,None,1.5,0,0,1.5,0,0,7.6,None,7.6,7.6,7.6,7.6,None,7.6,0,0,7.6,0,0,0.8,None,0.8,0.8,0.8,0.8,None,0.8,0,0,0.8,0,0,0,None,0,0,0,0,None,0,0,0,0,0,1.00,0,0,None,0,0,0,0,None,0,0,0,0,0,0,1,None,1,1,1,1,None,1,0,0,1,0,0,76,None,76,76,76,76,None,76,0,0,76,0,0,13,None,13,13,13,13,None,13,0,0,13,0,0,4,None,4,4,4,4,None,4,0,0,4,0,0,0,None,0,0,0,0,None,0,0,0,0,0,0,10,None,10,10,10,10,None,10,0,0,10,0,0,0,None,0,0,0,0,None,0,0,0,0,0,0,10,None,10,10,10,10,None,10,0,0,10,0,0,30,None,30,30,30,30,None,30,0,0,30,0,0,0,None,0,0,0,0,None,0,0,0,0,0,0,1,98,76,0,1,1,1,10,,ChinaOpens,/home/se-metrics/root/data-binaries-3D//ChinaOpens2012/CIT3D.tar.gz,CIT3D,True,/home/se-metrics/root/data_binaries-3D-proccessed//2012_ChinaOpens_CIT3D,2012_ChinaOpens_CIT3D,C++,2012
2012_ChinaOpens_AUA3D,,,,,,3.19349784086,2.75925925926,0,0,17,1,0,11,4,1.86221805013,3.62460534847,298,13.1377639322,0.182903104197,1.64741334798,1,1,4,1.45588235294,1,3.2,2.12946428571,1.01316432801,0.742358619464,177.920641582,0.551096319893,4.47438998243,7.89629890842,1,4,35.75,6.66666666667,1,19,10.0833333333,1.80890207214,6.33702365967,852.80028211,40.1578688632,5.64834522307,1.16895713548,1,0.646008403361,5,1,0.1,2.5,1.5,1.99591926959,0.826099551904,126.247370631,0.682440469656,11.9384862407,2.41666666667,0,0,23,1,0,9,3,2.96046553554,3.5338814011,261,12.488317757,0.23,-0.826772598532,0.611111111111,1,0,2,1,0,1,1,0.195826702976,0.560929357895,66,0.314641744548,9.54369051063,2.30555555556,1,1,13,2,1,6,3,2.9479414885,2.26908657704,249,5.14875389408,3.06430329394,58.5555555556,1,11,337,31.5,1,178,90.25,1.58719552769,62.3872940175,6324,3892.17445483,4.57874038366,21.1851851852,1,6,115,15.5,1,52,30,1.83847971915,21.1183351033,2288,445.984077535,16.6844022566,4.85185185185,0,1,45,3,0,16,6,3.2202223772,6.11542375911,524,37.3984077535,11.1424408283,0.537037037037,0,0,7,0,0,3,0,3.1763704502,1.3143771911,58,1.72758740048,1.23151096905,7.03703703704,3,3,27,4.5,1,20,10,1.39126788251,6.31705291207,760,39.9051574939,78.0817287277,0.5,0,0,22,0,0,2,0,8.36335243767,2.26100630975,54,5.11214953271,2.23312582163,5.9537037037,3,2,26,4,1,18,8,1.63439728517,5.55075857283,643,30.8109207338,10.7939002771,25.2407407407,1,7,193,15,1,77,36.5,2.591191254,28.3887796614,2726,805.922810661,66.6286383783,8.21296296296,0,0,253,2,0,30,5.25,7.65538589238,26.8704232098,887,722.019643475,5,0.0257874697127,7353,6324,8.4,108,86,108,760,0,ChinaOpens,/home/se-metrics/root/data-binaries-3D//ChinaOpens2012/AUA3D.tar.gz,AUA3D,True,/home/se-metrics/root/data_binaries-3D-proccessed//2012_ChinaOpens_AUA3D,2012_ChinaOpens_AUA3D,Java,2012
2008_WorldCup_hfutengine_rc08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2008/hfutengine_rc08.tar.gz,hfutengine_rc08,,/home/se-metrics/root/data_binaries-3D-proccessed//2008_WorldCup_hfutengine_rc08,2008_WorldCup_hfutengine_rc08,,2008
2014_WorldCup_seu_jolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2014/seu_jolly.tar.gz,seu_jolly,,/home/se-metrics/root/data_binaries-3D-proccessed//2014_WorldCup_seu_jolly,2014_WorldCup_seu_jolly,,2014
2009_WorldCup_naitostrikers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2009/naitostrikers.tar.gz,naitostrikers,,/home/se-metrics/root/data_binaries-3D-proccessed//2009_WorldCup_naitostrikers,2009_WorldCup_naitostrikers,,2009
2005_SpringCompetitions_TsubameGaeshi,,,,,,0.581632653061,0.421052631579,0,0,2,0,0,2,1,1.16756235952,0.606976978667,8,0.368421052632,2.50476115211,1.53769460764,1,1,4.25,1,1,4.25,1.51098901099,1.8763244804,0.985592406466,29.2161975451,0.971392391683,0.0739227141594,7.16972255199,1,1,23.8333333333,4,1,23.8333333333,8.87912087912,1.21191904896,7.64518932538,136.224728488,58.448919821,1.49472819181,0.792860186905,1,0.37969924812,2.33333333333,1,0,2.33333333333,1,0.622783867514,0.577991660553,15.0643435512,0.334074359668,4.50027573529,0.421052631579,0,0,3,0,0,3,0.5,2.1785638905,0.837707816583,8,0.701754385965,0.11,4.50027573529,0.421052631579,0,0,3,0,0,3,0.5,2.1785638905,0.837707816583,8,0.701754385965,9.47675365432,5.84210526316,1,1,38,2,1,38,7.5,2.86234910327,8.95831803344,111,80.2514619883,9.16531059569,86.1052631579,1,3,666,13,1,666,94.5,2.85779948267,162.800796728,1636,26504.0994152,1.62910971493,23.0526315789,1,1,112,4,1,112,31,1.635698852,34.2092802292,438,1170.2748538,12.9355940893,3.57894736842,0,0,27,2,0,27,5,3.35183779396,6.14017543609,68,37.701754386,6.50865051903,0.105263157895,0,0,1,0,0,1,0,2.79843956402,0.315301767642,2,0.0994152046784,6.95568020011,7.26315789474,1,1,38,3,1,38,12.5,2.32803541628,9.05441638872,138,81.9824561404,4.02763251735,0.842105263158,0,0,6,0,0,6,0.5,2.23244204681,1.80318107474,16,3.2514619883,5.18873160643,5.68421052632,1,1,28,3,1,28,6.5,2.12505228974,6.93663888813,108,48.1169590643,2.81535897357,12.8421052632,1,1,59,8,1,59,20.5,1.62602559464,15.7489440842,244,248.029239766,18.44545303,7.05263157895,0,0,114,0,0,114,0.5,4.27315505091,26.060770186,134,679.16374269,1,0.0233918128655,1784,1636,13,19,11,19,138,0,SpringCompetitions,/home/se-metrics/root/data-binaries-3D//SpringCompetitions2005/TsubameGaeshi,TsubameGaeshi,True,/home/se-metrics/root/data_binaries-3D-proccessed//2005_SpringCompetitions_TsubameGaeshi,2005_SpringCompetitions_TsubameGaeshi,C++,2005
2009_WorldCup_magmaoffenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2009/magmaoffenburg.tar.gz,magmaoffenburg,,/home/se-metrics/root/data_binaries-3D-proccessed//2009_WorldCup_magmaoffenburg,2009_WorldCup_magmaoffenburg,,2009
2012_ChinaOpens_Miracle3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ChinaOpens,/home/se-metrics/root/data-binaries-3D//ChinaOpens2012/Miracle3D.tar.gz,Miracle3D,,/home/se-metrics/root/data_binaries-3D-proccessed//2012_ChinaOpens_Miracle3D,2012_ChinaOpens_Miracle3D,,2012
2011_GermanOpens_fcportugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanOpens,/home/se-metrics/root/data-binaries-3D//GermanOpens2011/fcportugal.tar.gz,fcportugal,,/home/se-metrics/root/data_binaries-3D-proccessed//2011_GermanOpens_fcportugal,2011_GermanOpens_fcportugal,,2011
2015_ChinaOpens_AHJZU3D_PRO,/home/se-metrics/root/data_binaries-3D-proccessed//2015_ChinaOpens_AHJZU3D_PRO/AHJZU3D_PRO/AH11; /home/se-metrics/root/data_binaries-3D-proccessed//2015_ChinaOpens_AHJZU3D_PRO/AHJZU3D_PRO/AHJZ3D_PRO; /home/se-metrics/root/data_binaries-3D-proccessed//2015_ChinaOpens_AHJZU3D_PRO/AHJZU3D_PRO/AH9; /home/se-metrics/root/data_binaries-3D-proccessed//2015_ChinaOpens_AHJZU3D_PRO/AHJZU3D_PRO/AH10; /home/se-metrics/root/data_binaries-3D-proccessed//2015_ChinaOpens_AHJZU3D_PRO/AHJZU3D_PRO/AH8,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChinaOpens,/home/se-metrics/root/data-binaries-3D//ChinaOpens2015/AHJZU3D_PRO.tar.gz,AHJZU3D_PRO,,/home/se-metrics/root/data_binaries-3D-proccessed//2015_ChinaOpens_AHJZU3D_PRO,2015_ChinaOpens_AHJZU3D_PRO,,2015
2011_IranOpens_naoth-iranopen2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,IranOpens,/home/se-metrics/root/data-binaries-3D//IranOpens2011/naoth-iranopen2011.tar.gz,naoth-iranopen2011,,/home/se-metrics/root/data_binaries-3D-proccessed//2011_IranOpens_naoth-iranopen2011,2011_IranOpens_naoth-iranopen2011,,2011
2009_WorldCup_seuredsun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2009/seuredsun.tar.gz,seuredsun,,/home/se-metrics/root/data_binaries-3D-proccessed//2009_WorldCup_seuredsun,2009_WorldCup_seuredsun,,2009
2010_WorldCup_NomoFC_binary_2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2010/NomoFC_binary_2010.tar.gz,NomoFC_binary_2010,,/home/se-metrics/root/data_binaries-3D-proccessed//2010_WorldCup_NomoFC_binary_2010,2010_WorldCup_NomoFC_binary_2010,,2010
2009_WorldCup_persia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2009/persia.tar.gz,persia,,/home/se-metrics/root/data_binaries-3D-proccessed//2009_WorldCup_persia,2009_WorldCup_persia,,2009
2015_WorldCup_fcportugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2015/fcportugal.tar.bz2,fcportugal,,/home/se-metrics/root/data_binaries-3D-proccessed//2015_WorldCup_fcportugal,2015_WorldCup_fcportugal,,2015
2015_ChinaOpens_Sainty3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ChinaOpens,/home/se-metrics/root/data-binaries-3D//ChinaOpens2015/Sainty3D.tar.gz,Sainty3D,,/home/se-metrics/root/data_binaries-3D-proccessed//2015_ChinaOpens_Sainty3D,2015_ChinaOpens_Sainty3D,,2015
2009_WorldCup_fcportugal_bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2009/fcportugal_bin.tgz,fcportugal_bin,,/home/se-metrics/root/data_binaries-3D-proccessed//2009_WorldCup_fcportugal_bin,2009_WorldCup_fcportugal_bin,,2009
2009_WorldCup_hfutengine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2009/hfutengine.tar.gz,hfutengine,,/home/se-metrics/root/data_binaries-3D-proccessed//2009_WorldCup_hfutengine,2009_WorldCup_hfutengine,,2009
2012_ChinaOpens_NeverMost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChinaOpens,/home/se-metrics/root/data-binaries-3D//ChinaOpens2012/NeverMost.tar.gz,NeverMost,,/home/se-metrics/root/data_binaries-3D-proccessed//2012_ChinaOpens_NeverMost,2012_ChinaOpens_NeverMost,,2012
2009_WorldCup_bahia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WorldCup,/home/se-metrics/root/data-binaries-3D//WorldCup2009/bahia.tar.gz,bahia,,/home/se-metrics/root/data_binaries-3D-proccessed//2009_WorldCup_bahia,2009_WorldCup_bahia,,2009
