Current_group_location,analizo_acc_kurtosis,analizo_acc_mean,analizo_acc_mode,analizo_acc_quantile_lower,analizo_acc_quantile_max,analizo_acc_quantile_median,analizo_acc_quantile_min,analizo_acc_quantile_ninety_five,analizo_acc_quantile_upper,analizo_acc_skewness,analizo_acc_standard_deviation,analizo_acc_sum,analizo_acc_variance,analizo_accm_kurtosis,analizo_accm_mean,analizo_accm_mode,analizo_accm_quantile_lower,analizo_accm_quantile_max,analizo_accm_quantile_median,analizo_accm_quantile_min,analizo_accm_quantile_ninety_five,analizo_accm_quantile_upper,analizo_accm_skewness,analizo_accm_standard_deviation,analizo_accm_sum,analizo_accm_variance,analizo_amloc_kurtosis,analizo_amloc_mean,analizo_amloc_mode,analizo_amloc_quantile_lower,analizo_amloc_quantile_max,analizo_amloc_quantile_median,analizo_amloc_quantile_min,analizo_amloc_quantile_ninety_five,analizo_amloc_quantile_upper,analizo_amloc_skewness,analizo_amloc_standard_deviation,analizo_amloc_sum,analizo_amloc_variance,analizo_anpm_kurtosis,analizo_anpm_mean,analizo_anpm_mode,analizo_anpm_quantile_lower,analizo_anpm_quantile_max,analizo_anpm_quantile_median,analizo_anpm_quantile_min,analizo_anpm_quantile_ninety_five,analizo_anpm_quantile_upper,analizo_anpm_skewness,analizo_anpm_standard_deviation,analizo_anpm_sum,analizo_anpm_variance,analizo_cbo_kurtosis,analizo_cbo_mean,analizo_cbo_mode,analizo_cbo_quantile_lower,analizo_cbo_quantile_max,analizo_cbo_quantile_median,analizo_cbo_quantile_min,analizo_cbo_quantile_ninety_five,analizo_cbo_quantile_upper,analizo_cbo_skewness,analizo_cbo_standard_deviation,analizo_cbo_sum,analizo_cbo_variance,analizo_change_cost,analizo_dit_kurtosis,analizo_dit_mean,analizo_dit_mode,analizo_dit_quantile_lower,analizo_dit_quantile_max,analizo_dit_quantile_median,analizo_dit_quantile_min,analizo_dit_quantile_ninety_five,analizo_dit_quantile_upper,analizo_dit_skewness,analizo_dit_standard_deviation,analizo_dit_sum,analizo_dit_variance,analizo_lcom4_kurtosis,analizo_lcom4_mean,analizo_lcom4_mode,analizo_lcom4_quantile_lower,analizo_lcom4_quantile_max,analizo_lcom4_quantile_median,analizo_lcom4_quantile_min,analizo_lcom4_quantile_ninety_five,analizo_lcom4_quantile_upper,analizo_lcom4_skewness,analizo_lcom4_standard_deviation,analizo_lcom4_sum,analizo_lcom4_variance,analizo_loc_kurtosis,analizo_loc_mean,analizo_loc_mode,analizo_loc_quantile_lower,analizo_loc_quantile_max,analizo_loc_quantile_median,analizo_loc_quantile_min,analizo_loc_quantile_ninety_five,analizo_loc_quantile_upper,analizo_loc_skewness,analizo_loc_standard_deviation,analizo_loc_sum,analizo_loc_variance,analizo_mmloc_kurtosis,analizo_mmloc_mean,analizo_mmloc_mode,analizo_mmloc_quantile_lower,analizo_mmloc_quantile_max,analizo_mmloc_quantile_median,analizo_mmloc_quantile_min,analizo_mmloc_quantile_ninety_five,analizo_mmloc_quantile_upper,analizo_mmloc_skewness,analizo_mmloc_standard_deviation,analizo_mmloc_sum,analizo_mmloc_variance,analizo_noa_kurtosis,analizo_noa_mean,analizo_noa_mode,analizo_noa_quantile_lower,analizo_noa_quantile_max,analizo_noa_quantile_median,analizo_noa_quantile_min,analizo_noa_quantile_ninety_five,analizo_noa_quantile_upper,analizo_noa_skewness,analizo_noa_standard_deviation,analizo_noa_sum,analizo_noa_variance,analizo_noc_kurtosis,analizo_noc_mean,analizo_noc_mode,analizo_noc_quantile_lower,analizo_noc_quantile_max,analizo_noc_quantile_median,analizo_noc_quantile_min,analizo_noc_quantile_ninety_five,analizo_noc_quantile_upper,analizo_noc_skewness,analizo_noc_standard_deviation,analizo_noc_sum,analizo_noc_variance,analizo_nom_kurtosis,analizo_nom_mean,analizo_nom_mode,analizo_nom_quantile_lower,analizo_nom_quantile_max,analizo_nom_quantile_median,analizo_nom_quantile_min,analizo_nom_quantile_ninety_five,analizo_nom_quantile_upper,analizo_nom_skewness,analizo_nom_standard_deviation,analizo_nom_sum,analizo_nom_variance,analizo_npa_kurtosis,analizo_npa_mean,analizo_npa_mode,analizo_npa_quantile_lower,analizo_npa_quantile_max,analizo_npa_quantile_median,analizo_npa_quantile_min,analizo_npa_quantile_ninety_five,analizo_npa_quantile_upper,analizo_npa_skewness,analizo_npa_standard_deviation,analizo_npa_sum,analizo_npa_variance,analizo_npm_kurtosis,analizo_npm_mean,analizo_npm_mode,analizo_npm_quantile_lower,analizo_npm_quantile_max,analizo_npm_quantile_median,analizo_npm_quantile_min,analizo_npm_quantile_ninety_five,analizo_npm_quantile_upper,analizo_npm_skewness,analizo_npm_standard_deviation,analizo_npm_sum,analizo_npm_variance,analizo_rfc_kurtosis,analizo_rfc_mean,analizo_rfc_mode,analizo_rfc_quantile_lower,analizo_rfc_quantile_max,analizo_rfc_quantile_median,analizo_rfc_quantile_min,analizo_rfc_quantile_ninety_five,analizo_rfc_quantile_upper,analizo_rfc_skewness,analizo_rfc_standard_deviation,analizo_rfc_sum,analizo_rfc_variance,analizo_sc_kurtosis,analizo_sc_mean,analizo_sc_mode,analizo_sc_quantile_lower,analizo_sc_quantile_max,analizo_sc_quantile_median,analizo_sc_quantile_min,analizo_sc_quantile_ninety_five,analizo_sc_quantile_upper,analizo_sc_skewness,analizo_sc_standard_deviation,analizo_sc_sum,analizo_sc_variance,analizo_total_abstract_classes,analizo_total_cof,analizo_total_eloc,analizo_total_loc,analizo_total_methods_per_abstract_class,analizo_total_modules,analizo_total_modules_with_defined_attributes,analizo_total_modules_with_defined_methods,analizo_total_nom,competition,dir_to_zip,group_name,is_source,new_dir,new_dir_name,source_lang,year
SPL_The_Awesome_Resurrection_21-01-13,68.9050101927,4.21251819505,0,0,136,1,0,17,4,7.13092782321,10.5460929402,2894,111.220076303,60.3294726889,1.88853184154,1,1,35,1,0,6.25,2.10101010101,5.64303070612,2.37492961138,1297.42137514,5.640290659,54.928458694,12.0304985277,0,1,260,6,0,43.7777777778,15,5.31168398295,18.1591139105,8264.95248854,329.753418014,24.761191637,1.06780732982,0,0.333333333333,13,1,0,2.7037037037,1.5,3.33117400733,1.09243479048,733.583635586,1.19341377144,25.4130247817,1.6826783115,0,0,33,0,0,8,2,3.93754000035,3.27077880364,1156,10.6979939824,0.05,5.64732648029,0.931586608443,1,0,6,1,0,3,1,2.07086904681,1.01575387462,640,1.03175593381,28.9694492425,2.38864628821,1,1,31,2,0,7,3,3.8404633994,2.52717920886,1641,6.38663475371,74.9932854675,93.0538573508,0,4,3473,16,0,475,74,7.00898686968,235.170594389,63928,55305.2084654,23.4957745119,34.6972343523,0,1,618,11,0,151,35,4.13175993852,65.7128551835,23837,4318.17933636,52.4579980758,5.77147016012,1,1,110,3,0,18,7,5.87189839091,9.08536779078,3965,82.5439078938,108.002156756,0.295487627365,0,0,21,0,0,1,0,9.21717354268,1.48118226144,203,2.19390089161,30.9499845174,4.97088791849,2,1,85,3,0,19,6,4.31977960422,7.17517360528,3415,51.4831162658,43.7873820838,3.07423580786,0,0,65,1,0,11,4,5.30239613243,5.521652842,2112,30.4886501076,20.6579568596,2.80349344978,1,1,40,1,0,10,3,3.91853564548,4.3646592271,1926,19.0502501687,49.7368085273,23.4759825328,0,2,590,8,0,111,21,5.79814028242,48.7907018353,16128,2380.53258559,49.4666840553,5.25181950509,0,0,170,0,0,24,4,6.05506195893,14.0287831578,3608,196.806756889,29,0.00614069707733,78826,63928,6.62068965517,687,589,596,3415,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/The_Awesome_Resurrection_21-01-13.tar,The_Awesome_Resurrection_21-01-13,True,/home/se-metrics/root/Other_robo_proccessed/SPL_The_Awesome_Resurrection_21-01-13,SPL_The_Awesome_Resurrection_21-01-13,C++,
SPL_HULKsCodeRelease,65.6464394746,4.67572815534,0,0,147,1,0,24,4,6.51751461536,10.8061128581,2408,116.772075101,12.4918330192,1.68140675588,1,1,13.5,1,0,5.22222222222,2,2.95601250785,1.83112642291,865.924479278,3.35302397668,18.8610280794,11.2005750882,0,1.875,145,5.91666666667,0,37.6666666667,14.25,3.40901194416,15.0427409234,5768.29617043,226.284054488,197.640638559,0.776665408208,0,0.145833333333,23,0.666666666667,0,2,1,11.6532289434,1.24761733669,399.982685227,1.55654901882,19.3554337902,2.19611650485,0,0,38,0,0,9,3,3.38527753978,3.85616698285,1131,14.8700237996,0.04,4.47216220738,0.852427184466,0,0,6,1,0,4,1,2.08505960702,1.16930960543,439,1.36728495335,27.3410249204,2.32233009709,1,1,32,2,0,8,3,4.02171051829,2.93857121502,1196,8.63520078577,273.403749315,73.4019417476,0,4.5,5028,18,0,277,66,14.8392183348,256.971147823,37802,66034.1708133,16.1649546292,25.172815534,0,3,346,8,0,97,30,3.46729260298,41.4225079189,12964,1715.82416229,9.30840240092,5.16699029126,0,1,47,3,0,19,6.5,2.72190442681,6.92618654024,2661,47.9720599902,34.8494373292,0.264077669903,0,0,10,0,0,2,0,5.51886979341,1.07869844913,136,1.16359034415,189.634791881,4.97669902913,3,1,204,3,0,15,5,11.9660938922,11.405995453,2563,130.096732273,12.0349695759,2.26601941748,0,0,26,0,0,10,3,3.13003632508,4.04367097823,1167,16.3512749802,299.65319195,3.52621359223,0,1,204,2,0,10,3,15.8659905541,10.1749670041,1816,103.529953534,189.989433258,22.6912621359,0,2,1134,9,0,84,22,12.0317792402,63.8285018408,11686,4074.07764724,27.9565999695,6.21941747573,0,0,128,0,0,28,7,4.42653315306,13.2486109561,3203,175.525692267,32,0.00909674738393,47699,37802,6.6875,515,408,428,2563,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/HULKsCodeRelease.tar,HULKsCodeRelease,True,/home/se-metrics/root/Other_robo_proccessed/SPL_HULKsCodeRelease,SPL_HULKsCodeRelease,C++,
SPL_TKark_coderelease_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/TKark_coderelease_2017.tar,TKark_coderelease_2017,True,/home/se-metrics/root/Other_robo_proccessed/SPL_TKark_coderelease_2017,SPL_TKark_coderelease_2017,C++,
SPL_MRL-SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/MRL-SPL.tar,MRL-SPL,True,/home/se-metrics/root/Other_robo_proccessed/SPL_MRL-SPL,SPL_MRL-SPL,C++,
Small-Size-League_CMDragons2002-0,34.5441034774,8.11481481481,0,0,191,2,0,36,6.75,5.33096350883,20.7378253567,2191,430.057400523,67.5880228654,1.55073622378,0,0,34,1,0,4.8,1.8,7.00190356938,2.91208285103,418.698780421,8.48022653129,95.6205276265,10.2314035495,0,0,344,3,0,34,12.1263736264,8.63817604388,26.7841551665,2762.47895836,717.390967984,5.70147513911,0.989917514759,0,0,7.53846153846,1,0,2.66666666667,1.53370098039,1.58625797319,1.04757903535,267.277728985,1.09742183531,8.99007269635,3.04814814815,0,0,31,0,0,12,4,2.73367398852,5.25426860422,823,27.6073385653,0.46,4.70579719208,0.274074074074,0,0,3,0,0,2,0,2.41011494678,0.678174124537,74,0.459920143192,24.9236359602,3.0962962963,0,0,55,1,0,13,3,4.38361074877,6.27898373857,836,39.4256367892,31.8764532625,100.192592593,0,0,2064,13,0,468,104.25,4.773074937,218.186663248,27052,47605.4200193,169.489731324,33.1851851852,0,0,1522,5,0,127,41.75,11.8575234192,102.094218835,8960,10423.2295195,10.3147040928,4.9962962963,0,1,44,3,0,17,6,2.77761538676,6.36352182548,1349,40.4944100234,184.835268862,0.159259259259,0,0,23,0,0,0,0,13.1041843037,1.54505068053,43,2.3871816054,7.53050457672,6.68518518519,0,0,63,3,0,25,9,2.43331861402,9.76341717952,1805,95.3243150213,21.7486276698,3.17777777778,0,0,44,2,0,11,4,3.94418349626,5.25536251766,858,27.6188351921,9.7104953823,6.07777777778,0,0,63,3,0,24,8,2.62258611259,8.78943406467,1641,77.2541511772,15.8578086074,33.6925925926,0,0,492,8.5,0,141,36,3.52223742085,63.8637456766,9097,4078.57801184,223.828904964,17.3296296296,0,0,1595,0,0,72,9,14.4086706455,100.968611247,4679,10194.6604571,2,0.0301665978246,24190,27052,19,270,218,167,1805,Small-Size-League,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//Small-Size-League/CMDragons2002-0.90-smallsize.tgz,CMDragons2002-0,True,/home/se-metrics/root/Other_robo_proccessed/Small-Size-League_CMDragons2002-0,Small-Size-League_CMDragons2002-0,C,
SPL_rUNSWift-2015-release,153.959261491,2.65072202166,0,0,213,0,0,13,1,10.2538001796,10.841297028,2937,117.533721249,247.998189703,1.51882863179,1,0,66,1,0,4.75,1.5,13.4891061984,3.18642214537,1682.86212403,10.1532860885,120.362130848,9.15284813548,0,0,380,3.75,0,36,9,9.53706044616,23.5092020145,10141.3557341,552.682579356,12.0313574513,1.11229383282,0,0,12,1,0,3,1.66666666667,2.50112984137,1.22144161616,1232.42156677,1.49191962169,17.3382788993,1.23555956679,0,0,21,0,0,6,2,3.73120765632,2.50230588384,1369,6.26153473629,0.04,2.50731231046,0.286101083032,0,0,2,0,0,2,0,1.9629655688,0.605832802458,317,0.367033384534,221.863485961,3.07220216606,1,0,177,1,0,10,3,12.0891022265,7.96629212002,3404,63.4618101416,54.0566788477,49.5442238267,0,0,1632,8,0,239,32.25,6.39982601482,138.286843114,54895,19123.2509783,37.4400369363,19.5794223827,0,0,558,5,0,87,16,5.33246293581,46.7128692194,21694,2182.0921507,184.439556635,2.63718411552,0,0,171,0,0,12,2,10.9618727229,8.18122136543,2922,66.9323830302,162.814147012,0.150722021661,0,0,22,0,0,0,0,12.0493000862,1.30658447227,167,1.70716298318,120.38632445,4.40342960289,0,0,177,2,0,17,5,8.60802065624,9.48553155673,4879,89.9753089137,496.302378348,1.32220216606,0,0,171,0,0,6,1,19.2415258089,6.24853903985,1465,39.0442401325,137.138974114,3.88989169675,0,0,173,1,0,14,4,9.30698546002,8.99556082365,4310,80.9201145321,47.4659942854,13.0315884477,0,0,381,3,0,64,11,5.78452251127,30.4056271596,14439,924.502162967,181.662417846,6.59476534296,0,0,588,0,0,27,3,11.8707269492,29.5167193391,7307,871.236720541,15,0.00239450950466,66547,54895,3.73333333333,1108,491,814,4879,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/rUNSWift-2015-release.tar,rUNSWift-2015-release,True,/home/se-metrics/root/Other_robo_proccessed/SPL_rUNSWift-2015-release,SPL_rUNSWift-2015-release,C++,
SPL_The_Charismatisch_Shirley_02-05-2013,76.2281334841,4.80595084088,0,0,182,1,0,20,4,7.38390443912,12.5832405928,3715,158.337943816,58.8554771587,1.85539453657,1,1,35,1,0,6,2.125,5.44887492409,2.32344283125,1434.21997677,5.39838659009,52.3918759849,11.8666778545,0,1,260,6,0,44.1666666667,15,5.08713808425,17.8651715128,9172.9419815,319.164353181,23.2031966408,1.02514797228,0,0.2,13,1,0,2.7037037037,1.5,3.21969674857,1.08827079195,792.439382574,1.1843333166,16.1313093183,2.01293661061,0,0,35,0,0,9,2,3.26843380672,3.80309913061,1556,14.4635629973,0.09,6.00686877945,0.857697283312,1,0,6,1,0,3,1,2.11517799224,0.99503085403,663,0.990086400472,21.247072816,2.48124191462,1,1,31,2,0,8,3,3.53569004796,2.82544370576,1918,7.98313213441,77.331182522,92.2160413972,0,2,3473,16,0,460,78,7.01501357729,226.766030964,71283,51422.8327993,22.9734677565,34.3868046572,0,1,618,10,0,152,35,4.04532447876,64.4362896318,26581,4152.03542151,50.8652250803,5.65200517464,1,1,110,3,0,18,7,5.71539273107,8.89266663818,4369,79.0795199378,116.128597393,0.287192755498,0,0,21,0,0,1,0,9.47250205638,1.41340877423,222,1.99772436306,29.7879347443,4.98447606727,2,1,85,3,0,19,6,4.13873727654,7.03321263285,3853,49.4660799389,39.3000993761,3.0957309185,0,0,65,1,0,11,4,5.0861776711,5.6909750287,2393,32.3871967772,15.9820953799,3.0064683053,1,1,40,1,0,12,4,3.42406652109,4.52496924938,2324,20.4753467079,46.2159698057,23.830530401,0,2,592,8,0,109,22,5.55950092265,48.8150893956,18421,2382.9129527,40.345713765,6.53428201811,0,0,190,0,0,30,6,5.46361690718,16.5861833663,5051,275.101478661,34,0.00622532492342,87258,71283,6.94117647059,773,657,652,3853,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/The_Charismatisch_Shirley_02-05-2013.tar,The_Charismatisch_Shirley_02-05-2013,True,/home/se-metrics/root/Other_robo_proccessed/SPL_The_Charismatisch_Shirley_02-05-2013,SPL_The_Charismatisch_Shirley_02-05-2013,C++,
SPL_rUNSWift-2014-release,163.093583709,2.62137681159,0,0,215,0,0,13,1,10.4675110984,10.6992062774,2894,114.473014966,239.40190348,1.53194947943,1,0,66,1,0,5,1.5,13.2018830243,3.2172970052,1691.27222529,10.3510000197,116.539881133,9.29894821285,0,0,380,3.775,0,37,9,9.35146256677,23.7114484764,10266.038827,562.232788847,12.2969930369,1.11111496082,0,0,12,1,0,3,1.66666666667,2.52281157371,1.21592454006,1226.67091674,1.47847248712,17.480375446,1.23550724638,0,0,21,0,0,6,2,3.74440917818,2.50127222678,1364,6.25636275244,0.04,2.41908381382,0.289855072464,0,0,2,0,0,2,0,1.94208603127,0.609122532852,320,0.371030260029,221.589331325,3.06884057971,1,0,177,1,0,10,3,12.0899282117,7.97620941903,3388,63.6199166962,55.4306141839,49.0769927536,0,0,1632,8,0,239,33,6.4141928109,135.062258421,54181,18241.8136497,32.3937125124,19.6132246377,0,0,483,5,0,87,16,5.05337159253,45.9150921895,21653,2108.19569077,188.835237114,2.60235507246,0,0,171,0,0,12,2,10.9669271358,8.05074758059,2873,64.8145366064,159.957527143,0.152173913043,0,0,22,0,0,0,0,11.9535707964,1.31537900409,168,1.7302219244,121.236672905,4.37862318841,0,0,177,2,0,17,4,8.6540281481,9.47907632838,4834,89.8528880392,504.027546374,1.29076086957,0,0,171,0,0,6,1,19.4791369363,6.23182148797,1425,38.8355990579,137.292975064,3.87047101449,0,0,173,1,0,15,4,9.32413813066,9.00259242179,4273,81.0466703128,44.870284744,12.9030797101,0,0,381,3,0,59,11,5.62743806938,29.8320568073,14245,889.951613354,188.841523299,6.53804347826,0,0,588,0,0,28,3,12.0770227643,29.1753755846,7218,851.202540502,15,0.00237658822447,66905,54181,3.73333333333,1104,488,812,4834,SPL,/home/se-metrics/root/repo_local/Other-RoboCup/RoboCup//SPL/rUNSWift-2014-release.tar,rUNSWift-2014-release,True,/home/se-metrics/root/Other_robo_proccessed/SPL_rUNSWift-2014-release,SPL_rUNSWift-2014-release,C++,
